room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8461821,44392790,Shared room,NORTHEAST,WHITEHORN,12,4.0,10,1.0,38.0,1.0,51.092382,-113.974733,2016-09-11 16:41:25.910714
8674164,17720811,Entire home/apt,CENTRE,HILLHURST,6,5.0,2,1.0,47.0,3.0,51.050394,-114.089638,2016-09-11 16:41:14.188638
10157198,51353816,Entire home/apt,CENTRE,EAU CLAIRE,0,,2,2.0,98.0,1.0,51.052028,-114.078359,2016-09-11 16:41:10.442794
13495334,77373254,Private room,SOUTHEAST,MAHOGANY,0,,2,1.0,52.0,1.0,50.897783,-113.93895,2016-09-11 16:41:05.005773
2495452,3563134,Entire home/apt,CENTRE,UPPER MOUNT ROYAL,21,5.0,3,1.0,55.0,1.0,51.034357,-114.082926,2016-09-11 16:41:00.582539
10591511,42041887,Entire home/apt,CENTRE,CHINATOWN,14,4.5,2,1.0,117.0,1.0,51.052315,-114.065745,2016-09-11 16:40:29.315016
13715611,80134001,Entire home/apt,CENTRE,MEADOWLARK PARK,0,,6,4.0,158.0,2.0,50.998365,-114.079985,2016-09-11 16:40:18.888808
14858994,92697806,Private room,NORTH,HARVEST HILLS,0,,2,1.0,32.0,1.0,51.152095,-114.059502,2016-09-11 16:40:14.861234
13779969,24164905,Entire home/apt,NORTHWEST,VARSITY,4,5.0,4,1.0,118.0,2.0,51.087433,-114.178533,2016-09-11 16:40:11.587565
13266245,42076529,Entire home/apt,CENTRE,BELTLINE,3,4.5,2,1.0,113.0,1.0,51.040035,-114.059275,2016-09-11 16:40:03.172213
3861814,13357570,Entire home/apt,CENTRE,BANFF TRAIL,0,,2,1.0,39.0,1.0,51.078164,-114.109911,2016-09-11 16:40:00.670306
13385142,66385580,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,9,5.0,4,2.0,157.0,2.0,51.049898,-114.07727,2016-09-11 16:39:56.977925
11497270,60545871,Entire home/apt,WEST,LINCOLN PARK,2,,2,1.0,45.0,1.0,51.008831,-114.131912,2016-09-11 16:39:49.171923
7363766,38582267,Entire home/apt,WEST,SIGNAL HILL,0,,4,3.0,89.0,1.0,51.015005,-114.18219,2016-09-11 16:39:43.419105
7732354,40633415,Private room,CENTRE,SHAGANAPPI,27,5.0,2,1.0,44.0,1.0,51.037839,-114.134408,2016-09-11 16:39:30.544025
14809231,53221101,Entire home/apt,CENTRE,GREENVIEW,0,,4,1.0,56.0,2.0,51.095626,-114.055332,2016-09-11 16:39:27.755109
2346261,10970141,Entire home/apt,CENTRE,LOWER MOUNT ROYAL,11,5.0,2,1.0,71.0,1.0,51.036977,-114.07911,2016-09-11 16:39:22.189452
801900,4221145,Private room,SOUTH,ACADIA,7,4.0,2,1.0,31.0,3.0,50.974239,-114.048659,2016-09-11 16:39:18.324194
12073209,53221101,Entire home/apt,NORTH,SANDSTONE VALLEY,0,,3,1.0,47.0,3.0,51.140533,-114.102386,2016-09-11 16:39:10.422552
13621197,7529402,Entire home/apt,CENTRE,BELTLINE,4,5.0,2,1.0,78.0,3.0,51.040715,-114.083473,2016-09-11 16:39:07.297727
1536286,3703144,Entire home/apt,CENTRE,WEST HILLHURST,25,5.0,2,1.0,50.0,2.0,51.058008,-114.119536,2016-09-11 16:39:03.685092
12127759,27478351,Entire home/apt,SOUTH,EVERGREEN,1,,4,3.0,95.0,1.0,50.911155,-114.106981,2016-09-11 16:39:00.106492
14970103,93034449,Entire home/apt,CENTRE,DOWNTOWN EAST VILLAGE,0,,2,2.0,681.0,1.0,51.047912,-114.052829,2016-09-11 16:38:44.797988
13585582,37827224,Private room,NORTHWEST,CHARLESWOOD,12,5.0,2,1.0,28.0,1.0,51.093484,-114.119603,2016-09-11 16:38:37.769031
6821964,25100877,Private room,CENTRE,CRESCENT HEIGHTS,38,5.0,2,1.0,39.0,1.0,51.059392,-114.064092,2016-09-11 16:38:31.091729
14697485,2612434,Entire home/apt,CENTRE,INGLEWOOD,0,,2,1.0,71.0,10.0,51.039094,-114.028867,2016-09-11 16:37:52.308964
5783275,30002816,Entire home/apt,CENTRE,RICHMOND,28,5.0,4,2.0,78.0,2.0,51.024013,-114.114361,2016-09-11 16:37:45.263174
8258815,43548063,Private room,NORTHWEST,UNIVERSITY HEIGHTS,28,5.0,1,1.0,35.0,1.0,51.069011,-114.13546,2016-09-11 16:37:16.308027
13097628,71406267,Entire home/apt,CENTRE,ALTADORE,3,5.0,4,2.0,78.0,2.0,51.01886,-114.100951,2016-09-11 16:37:13.516268
13634044,79057418,Entire home/apt,CENTRE,BELTLINE,5,4.5,2,1.0,118.0,2.0,51.040845,-114.060428,2016-09-11 16:37:03.163236
8462409,38488715,Entire home/apt,NORTHWEST,BOWNESS,0,,4,2.0,61.0,3.0,51.096071,-114.217638,2016-09-11 16:37:00.391755
12132821,27478351,Private room,SOUTH,EVERGREEN,0,,1,1.0,39.0,1.0,50.912366,-114.106049,2016-09-11 16:36:51.084080
13046311,72126409,Private room,SOUTH,HAYSBORO,0,,3,1.0,60.0,1.0,50.97537,-114.076413,2016-09-11 16:36:20.903585
5848799,16792697,Entire home/apt,CENTRE,KILLARNEY/GLENGARRY,5,4.0,8,4.0,95.0,3.0,51.028577,-114.129222,2016-09-11 16:35:58.012360
14859214,93054893,Entire home/apt,CENTRE,MISSION,0,,4,1.0,82.0,2.0,51.036469,-114.062946,2016-09-11 16:35:53.956048
13428363,23897512,Private room,CENTRE,BELTLINE,0,,2,1.0,95.0,2.0,51.041051,-114.061178,2016-09-11 16:35:32.028528
13220865,45311566,Entire home/apt,CENTRE,SCARBORO,6,5.0,6,2.0,106.0,2.0,51.038824,-114.106996,2016-09-11 16:35:18.618627
7922254,34320309,Private room,CENTRE,BANFF TRAIL,1,,2,1.0,36.0,1.0,51.074216,-114.106516,2016-09-11 16:35:14.360218
8533454,42343570,Private room,CENTRE,CRESCENT HEIGHTS,66,4.5,2,1.0,28.0,1.0,51.064049,-114.056555,2016-09-11 16:34:48.464247
5911950,30703568,Entire home/apt,CENTRE,BELTLINE,41,4.5,5,2.0,48.0,2.0,51.037832,-114.072137,2016-09-11 16:34:34.116354
14949206,80923647,Entire home/apt,CENTRE,UPPER MOUNT ROYAL,0,,6,3.0,158.0,7.0,51.025558,-114.094557,2016-09-11 16:34:10.856144
7054285,36670744,Private room,CENTRE,RAMSAY,1,,2,1.0,43.0,1.0,51.039767,-114.043434,2016-09-11 16:33:52.598608
8467880,44594079,Private room,SOUTHEAST,MCKENZIE TOWNE,0,,2,1.0,35.0,3.0,50.915153,-113.970376,2016-09-11 16:33:48.935104
13041419,30246919,Entire home/apt,CENTRE,MOUNT PLEASANT,8,5.0,10,4.0,197.0,2.0,51.069234,-114.079892,2016-09-11 16:33:45.731543
9772515,50385837,Entire home/apt,EAST,FOREST LAWN,0,,2,1.0,79.0,3.0,51.031842,-113.977453,2016-09-11 16:33:09.444752
8699818,45672486,Private room,CENTRE,INGLEWOOD,0,,2,1.0,63.0,2.0,51.042523,-114.018385,2016-09-11 16:32:47.997775
11554574,247620,Entire home/apt,CENTRE,SUNALTA,34,5.0,2,1.0,55.0,2.0,51.044597,-114.10793,2016-09-11 16:32:42.365458
14902452,92472403,Entire home/apt,CENTRE,BELTLINE,0,,4,1.0,99.0,1.0,51.04278,-114.087866,2016-09-11 16:32:40.288478
9643131,31227580,Private room,CENTRE,BELTLINE,23,5.0,2,1.0,52.0,1.0,51.040815,-114.059285,2016-09-11 16:32:35.290279
14405476,57049682,Private room,SOUTHEAST,MAHOGANY,0,,2,1.0,78.0,1.0,50.897926,-113.938514,2016-09-11 16:32:31.875991
8908213,46593957,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,9,4.5,6,2.0,91.0,3.0,51.048356,-114.057942,2016-09-11 16:32:27.772540
12436973,67284054,Entire home/apt,CENTRE,BELTLINE,12,4.5,2,1.0,60.0,2.0,51.041965,-114.091357,2016-09-11 16:32:15.254538
12310990,66394406,Entire home/apt,NORTHWEST,BRENTWOOD,10,4.5,4,2.0,87.0,3.0,51.087454,-114.129388,2016-09-11 16:32:06.025893
11758939,62577576,Entire home/apt,CENTRE,BELTLINE,1,,4,1.0,54.0,1.0,51.038335,-114.06006,2016-09-11 16:31:46.643791
